Concurrent Users,Total Waiting Time,Total Service Time, Maximum Workload,Average Waiting Time,Average Service Time
2155,1104,6170,31,0.51,2.86
2396,926,6810,31,0.39,2.84
1089,529,2820,30,0.49,2.59
2228,811,6340,30,0.36,2.85
4510,1443,13300,32,0.32,2.95
935,524,2420,30,0.56,2.59
1975,596,5600,30,0.30,2.84
2938,1565,8450,30,0.53,2.88
3617,974,10610,32,0.27,2.93
2319,790,6600,30,0.34,2.85
3878,1281,11350,32,0.33,2.93
2017,778,5690,29,0.39,2.82
445,381,1210,15,0.86,2.72
3393,1066,9990,30,0.31,2.94
4118,1262,12080,33,0.31,2.93
1351,532,3720,30,0.39,2.75
468,299,1260,21,0.64,2.69
4390,1367,12930,32,0.31,2.95
1489,687,4170,28,0.46,2.80
4472,3328,13170,31,0.74,2.94
2804,817,8110,30,0.29,2.89
4464,1295,13140,32,0.29,2.94
304,265,830,16,0.87,2.73
1965,651,5550,31,0.33,2.82
1079,590,2810,31,0.55,2.60
4578,1553,13470,32,0.34,2.94
403,286,1120,15,0.71,2.78
4015,1277,11790,32,0.32,2.94
4429,1217,13090,31,0.27,2.96
1383,713,3860,30,0.52,2.79
2299,716,6550,30,0.31,2.85
3160,1125,9200,31,0.36,2.91
1079,535,2810,31,0.50,2.60
388,305,1050,15,0.79,2.71
2790,814,8070,31,0.29,2.89
4397,2070,12970,32,0.47,2.95
4348,1643,12880,32,0.38,2.96
1229,783,3370,31,0.64,2.74
2911,972,8330,30,0.33,2.86
4801,1982,14130,33,0.41,2.94
2106,658,5980,29,0.31,2.84
1436,391,4020,31,0.27,2.80
3777,1562,11080,33,0.41,2.93
3133,1117,9130,30,0.36,2.91
3104,1015,9030,30,0.33,2.91
3402,834,10010,31,0.25,2.94
3009,875,8710,29,0.29,2.89
1796,756,5130,29,0.42,2.86
2654,1199,7650,30,0.45,2.88
3397,1080,10000,31,0.32,2.94
3919,1244,11540,33,0.32,2.94
4892,2124,14390,30,0.43,2.94
3848,1074,11250,33,0.28,2.92
471,421,1260,21,0.89,2.68
549,371,1450,21,0.68,2.64
2954,1276,8560,30,0.43,2.90
4570,1409,13440,32,0.31,2.94
2366,804,6740,30,0.34,2.85
996,446,2640,29,0.45,2.65
986,434,2600,30,0.44,2.64
581,354,1510,22,0.61,2.60
629,300,1660,21,0.48,2.64
4477,1344,13200,31,0.30,2.95
1980,659,5610,31,0.33,2.83
321,339,890,16,1.06,2.77
966,412,2570,30,0.43,2.66
1114,388,2890,31,0.35,2.59
1764,670,5020,31,0.38,2.85
2809,1010,8120,31,0.36,2.89
4137,1026,12190,33,0.25,2.95
3172,1004,9230,29,0.32,2.91
1371,620,3800,30,0.45,2.77
666,404,1700,21,0.61,2.55
745,896,1920,30,1.20,2.58
4316,1678,12780,32,0.39,2.96
3917,1395,11530,33,0.36,2.94
3725,920,10900,32,0.25,2.93
3265,1100,9580,30,0.34,2.93
1908,813,5360,31,0.43,2.81
3896,1411,11450,32,0.36,2.94
2460,750,7020,29,0.30,2.85
3718,1091,10870,33,0.29,2.92
1112,476,2890,31,0.43,2.60
3657,1135,10700,32,0.31,2.93
